map,weight,energy,cut_edges,boundary_nodes,population_deviation,estimated_vote_pct,pr_deviation,pr_seats,pr_pct,estimated_seats,estimated_seat_pct,fptp_seats,disproportionality,efficiency_gap,gamma,seats_bias,votes_bias,geometric_seats_bias,global_symmetry,declination,mean_median_statewide,mean_median_average_district,turnout_bias,lopsided_outcomes,competitive_districts,competitive_district_pct,responsiveness,responsive_districts,responsive_district_pct,overall_responsiveness,avg_dem_win_pct,avg_rep_win_pct,opportunity_districts,proportional_opportunities,coalition_districts,proportional_coalitions,reock,polsby_popper,county_splitting,district_splitting,proportionality,competitiveness,minority,compactness,splitting
080_616,1.0000,1977989.057,0.1043,0.2794,0.0185,0.4943,0.0723,7,0.5,5.9881,0.4277,6,0.0666,0.0608,0.0523,0.0515,0.0131,0.051,0.0164,7.5097,0.0144,0.0156,-0.0012,0.0131,4.4573,0.3184,3.4958,4.4573,0.3184,12.6398,0.5888,0.5745,0,5,7.3978,5,0.3142,0.1427,1.3652,2.352,67,42,50,18,0
081_619,1.0000,2298504.283,0.1057,0.2836,0.0184,0.4943,0.0803,7,0.5,5.876,0.4197,6,0.0746,0.0688,0.0588,0.0582,0.0142,0.0578,0.018,7.4581,0.0106,0.0095,0.0011,0.0106,4.9429,0.3531,3.7516,4.9429,0.3531,14.0397,0.5852,0.5759,0,5,7.6069,5,0.3857,0.1613,1.365,2.4673,63,47,50,34,0
082_620,1.0000,2055712.54,0.1086,0.2982,0.0185,0.4943,-0.0156,7,0.5,7.2181,0.5156,8,-0.0213,-0.027,-0.0403,-0.0392,-0.0093,-0.0391,-0.0111,-3.8464,-0.0171,-0.0162,-0.0009,-0.0138,5.4677,0.3905,4.3205,5.4677,0.3905,-2.7241,0.56,0.5913,0,5,7.3511,5,0.3353,0.1502,1.3484,2.3989,92,52,50,24,2
083_621,1.0000,2782409.592,0.1202,0.3263,0.0175,0.4943,0.069,7,0.5,6.0338,0.431,5,0.0633,0.0576,0.0436,0.0431,0.0092,0.0428,0.0143,4.8535,0.0048,0.0038,0.001,0.0044,5.7725,0.4123,4.4412,5.7725,0.4123,12.0693,0.5888,0.5598,0,5,7.6195,5,0.3413,0.1737,1.4226,2.485,68,55,50,28,0
084_625,1.0000,2154625.298,0.104,0.2832,0.0189,0.4943,0.0737,7,0.5,5.9686,0.4263,6,0.0679,0.0622,0.0501,0.0484,0.0101,0.0476,0.0113,5.4825,0.018,0.0175,0.0005,0.0063,5.3614,0.383,4.1251,5.3614,0.383,12.8828,0.5738,0.5662,0,5,6.8539,5,0.3488,0.1776,1.3766,2.378,66,51,50,30,0
085_627,1.0000,2133845.741,0.1051,0.2881,0.0182,0.4943,0.0244,7,0.5,6.6586,0.4756,7,0.0187,0.013,0.0057,0.0068,0.0022,0.0068,0.008,0.1494,-0.0067,-0.0084,0.0017,-0.007,3.9614,0.283,3.2758,3.9614,0.283,4.2649,0.5782,0.593,0.9221,5,5.9313,5,0.391,0.1631,1.366,2.3771,91,38,59,36,0
086_628,1.0000,2426584.07,0.114,0.3065,0.0193,0.4943,0.1003,7,0.5,5.5956,0.3997,5,0.0946,0.0889,0.0761,0.0744,0.0147,0.0735,0.0202,8.0687,0.0224,0.0211,0.0013,0.0111,5.4708,0.3908,4.2342,5.4708,0.3908,17.5431,0.5869,0.5592,0,5,6.6481,5,0.3639,0.1525,1.4324,2.4235,53,52,50,30,0
087_630,1.0000,2394425.032,0.1104,0.3038,0.0168,0.4943,0.1181,7,0.5,5.347,0.3819,4,0.1124,0.1066,0.0966,0.0943,0.0197,0.0934,0.0265,12.6896,0.0216,0.0203,0.0013,0.0222,5.0291,0.3592,3.7624,5.0291,0.3592,20.6479,0.6277,0.5608,0,5,7.173,5,0.3715,0.1537,1.3812,2.4562,44,48,50,31,0
088_631,1.0000,2136407.766,0.1044,0.2869,0.0193,0.4943,0.0196,7,0.5,6.7254,0.4804,7,0.0139,0.0082,0.0048,0.0048,0.0018,0.0045,0.0032,-0.0809,0.0018,0.0008,0.001,-0.0069,3.0675,0.2191,2.5953,3.0675,0.2191,3.43,0.5816,0.595,0.7738,5,8.5321,5,0.3752,0.1818,1.3319,2.3619,93,29,58,35,5
089_632,1.0000,2147084.049,0.1117,0.3035,0.0186,0.4943,0.0628,7,0.5,6.1213,0.4372,6,0.057,0.0513,0.0399,0.0388,0.0087,0.0382,0.009,4.2707,0.0246,0.0231,0.0016,0.0026,5.1408,0.3672,3.9977,5.1408,0.3672,10.9764,0.5796,0.5724,0,5,7.7113,5,0.3765,0.1632,1.3997,2.4379,71,49,50,34,0
090_634,1.0000,2670469.188,0.128,0.3485,0.0183,0.4943,0.0606,7,0.5,6.1518,0.4394,6,0.0549,0.0491,0.0423,0.0412,0.0109,0.0405,0.0089,4.5596,0.0243,0.0227,0.0016,0.0034,3.9718,0.2837,3.1896,3.9718,0.2837,10.5946,0.5846,0.5763,0,5,8.0892,5,0.3276,0.1447,1.3985,2.4946,73,38,50,21,0
091_635,1.0000,3019588.577,0.1183,0.3267,0.0186,0.4943,0.0855,7,0.5,5.8036,0.4145,5,0.0797,0.074,0.0677,0.0669,0.0183,0.0663,0.0201,8.6055,0.0234,0.0217,0.0017,0.0129,3.9925,0.2852,3.1045,3.9925,0.2852,14.9439,0.6073,0.5712,0,5,8.1356,5,0.3381,0.1406,1.3934,2.5632,60,38,50,22,0
092_636,1.0000,2295233.09,0.1017,0.2787,0.0197,0.4943,0.0479,7,0.5,6.3289,0.4521,7,0.0422,0.0365,0.0274,0.027,0.007,0.0266,0.0074,3.7727,0.0141,0.0139,0.0003,0.003,4.5252,0.3232,3.5884,4.5252,0.3232,8.3822,0.5779,0.5899,0,5,8.2152,5,0.3826,0.1679,1.3563,2.3541,79,43,50,35,1
093_637,1.0000,2198551.485,0.1136,0.3162,0.0181,0.4943,0.0278,7,0.5,6.6105,0.4722,7,0.0221,0.0164,0.0062,0.0071,0.002,0.0071,0.0059,0.5789,-0.0033,-0.0045,0.0012,-0.0055,4.6554,0.3325,3.7811,4.6554,0.3325,4.8656,0.5731,0.5869,0,5,8.4737,5,0.385,0.1803,1.3868,2.3894,89,44,50,37,0
094_638,1.0000,2319388.675,0.0962,0.2716,0.0194,0.4943,0.0167,7,0.5,6.766,0.4833,7,0.011,0.0053,-0.0032,-0.0028,-0.0008,-0.003,-0.0031,-0.3306,-0.0073,-0.0075,0.0002,-0.0067,4.2881,0.3063,3.4793,4.2881,0.3063,2.9227,0.5772,0.589,0,5,6.7728,5,0.3568,0.1772,1.3804,2.2921,95,41,50,31,0
095_639,1.0000,2452247.544,0.1206,0.329,0.016,0.4943,0.0273,7,0.5,6.6181,0.4727,7,0.0216,0.0158,0.0057,0.006,0.0016,0.0058,0.0019,0.5186,-0.0006,-0.0015,0.0009,-0.0054,4.6455,0.3318,3.7712,4.6455,0.3318,4.7705,0.5717,0.5849,0.7091,5,8.6605,5,0.3413,0.149,1.3706,2.4918,89,44,57,24,0
096_641,1.0000,2332695.074,0.1137,0.3023,0.0146,0.4943,0.0867,7,0.5,5.7859,0.4133,6,0.081,0.0753,0.0691,0.067,0.0164,0.066,0.015,8.2024,0.0322,0.0307,0.0015,0.0119,4.0008,0.2858,3.0781,4.0008,0.2858,15.1653,0.5848,0.5762,0,5,8.1692,5,0.3366,0.1525,1.3929,2.4993,59,38,50,24,0
097_642,1.0000,2171399.619,0.1126,0.3035,0.0147,0.4943,0.1038,7,0.5,5.547,0.3962,5,0.0981,0.0923,0.0813,0.0793,0.0164,0.0784,0.0233,11.5641,0.0249,0.0253,-0.0004,0.0216,5.1818,0.3701,3.934,5.1818,0.3701,18.1495,0.6056,0.5669,0,5,6.5488,5,0.3546,0.1697,1.3862,2.4805,51,49,50,30,0
098_644,1.0000,2138497.489,0.1104,0.3038,0.0184,0.4943,0.0638,7,0.5,6.1069,0.4362,7,0.0581,0.0524,0.0409,0.041,0.0101,0.0408,0.0146,5.2541,-0.0037,-0.0048,0.001,0.0056,5.3019,0.3787,4.0079,5.3019,0.3787,11.1558,0.572,0.5855,0.7343,5,6.5972,5,0.373,0.1592,1.3931,2.43,71,50,58,32,0
099_645,1.0000,2246587.115,0.1122,0.3057,0.0188,0.4943,0.0697,7,0.5,6.0246,0.4303,6,0.064,0.0582,0.0509,0.0496,0.0129,0.049,0.0137,7.1497,0.0143,0.0143,0,0.0113,4.349,0.3106,3.2845,4.349,0.3106,12.1838,0.5931,0.5798,0,5,7.3058,5,0.3672,0.1443,1.3822,2.3938,68,41,50,29,0
